Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
208351:3351,282,38888033.1711,"[83-97], [100-356], [359-367], [369-369]",37753988.96
208352:3351,17,2023774.99041,"[1-15], [17-17], [19-19]",1773352.28904
208353:3351,346,36025569.2922,"[1-76], [78-269], [271-348]",35502253.6545
208357:3351,505,40625361.3471,"[1-70], [73-507]",40250435.4006
208390:3360,97,15227319.3043,"[72-128], [130-169]",14842238.2857
208391:3360,805,83292927.3187,"[52-82], [84-162], [164-216], [219-493], [495-498], [500-523], [526-533], [535-588], [591-660], [663-869]",82386217.2842
208427:3363,580,73626203.2134,"[49-89], [92-161], [164-164], [166-173], [175-268], [271-312], [315-315], [317-335], [337-361], [364-402], [404-422], [425-577], [580-647]",72122190.0867
208428:3363,222,21523362.0593,"[1-58], [61-68], [70-156], [159-227]",21035162.7523
208429:3363,908,66119482.7497,"[1-56], [59-139], [141-159], [162-237], [240-440], [442-452], [455-589], [592-712], [715-922]",65573830.7118
208487:3370,612,75268710.0808,"[2-26], [29-159], [161-307], [309-459], [462-476], [479-621]",73977353.57
208509:3372,162,1137711.00562,[71-232],1126839.83147
208538:3374,42,6652751.01929,[2-43],6266531.03052
208540:3374,96,13934564.7107,"[1-26], [29-98]",13368202.2066
208541:3374,410,47135249.6765,"[1-57], [59-173], [175-376], [378-413]",46424712.4256
208551:3375,454,58620310.0928,"[119-193], [195-212], [215-300], [303-354], [356-554], [557-580]",57252652.9858
208686:3378,379,53389512.5249,"[73-79], [82-181], [183-224], [227-243], [246-311], [313-459]",52168412.836
